answer,question
"Что делать, если я не могу подключиться к веб-интерфейсу АИС ""Гостакси""?","ИС Гостакси (Единая транспортная служба (ЕТС),
 http://192.168.210.137/govtaxi/client/support.html#/login)
 ссылка на скачивание приложения на телефон: http://portal/P_instruk/Ais_ETS.htm
 Если просят предоставить транспортное средство для командировки и пр., то закрываем заявку с комментарием ""Заявка на подачу транспорта создается путем направления письма по Делу в Департамент административного обеспечения Югры"" и прикрепляем файл из заявки 379325 . Вся инфа в заявке
 Категория и группа: АИС ""Гостакси"""
Какие шаги нужно выполнить для создания заявки на транспорт в системе Гостакси?,"ИС Гостакси (Единая транспортная служба (ЕТС),
 http://192.168.210.137/govtaxi/client/support.html#/login)
 ссылка на скачивание приложения на телефон: http://portal/P_instruk/Ais_ETS.htm
 Если просят предоставить транспортное средство для командировки и пр., то закрываем заявку с комментарием ""Заявка на подачу транспорта создается путем направления письма по Делу в Департамент административного обеспечения Югры"" и прикрепляем файл из заявки 379325 . Вся инфа в заявке
 Категория и группа: АИС ""Гостакси"""
"Где найти инструкции по работе с АИС ""Гостакси""?","ИС Гостакси (Единая транспортная служба (ЕТС),
 http://192.168.210.137/govtaxi/client/support.html#/login)
 ссылка на скачивание приложения на телефон: http://portal/P_instruk/Ais_ETS.htm
 Если просят предоставить транспортное средство для командировки и пр., то закрываем заявку с комментарием ""Заявка на подачу транспорта создается путем направления письма по Делу в Департамент административного обеспечения Югры"" и прикрепляем файл из заявки 379325 . Вся инфа в заявке
 Категория и группа: АИС ""Гостакси"""
Сопровождение АИС ГПЖС,"ВНИМАНИЕ! Проверяем, что бы по заявкам АИС ГПЖС, в наблюдателях обязательно присутствовали:
 Захаров Дмитрий Вячеславович - zakharovdv@admhmao.ru;
 Засыпкина Ирина Анатольевна - ZasypkinaIA@admhmao.ru.
 ЕСЛИ:
 Заявка на подключение пользователей к АИС ГПЖС, то анализируем заявку на наличие документов:
 1) Заявка на регистрацию;
 2) Копия приказа учреждения об уполномоченных сотрудниках;
 3) Копия акта о выполнении технических условий;
 4) Копия заключения об оценке эффективности.
 
 *Если документов не хватает, указываем инициатору на это через ""Уточнение от инициатора"".
 *Если все документы присутствуют направляем на согласование группе Голикова/Болдашкина и ДИТ УИБ
 Ждем согласования (достаточно 1 согласования в каждой группе).
 НАПРАВЛЯЕМ НА: АИС ГПЖС
 Ссылка документ: https://disk.yandex.ru/i/MaKmK4myMgA_CQ
 Ключевые слова: Подключение пользователей к АИС ГПЖС, приказ Депстрой и ЖКК Югры.
 *Для информации: Голикова Елена Николаевна GolikovaEN@admhmao.ru, Болдашкина Оксана Владимировна BoldashkinaOV@admhmao.ru.
 _____________________________________________
 ЕСЛИ: 
 Заявка по иным вопросам
 НАПРАВЛЯЕМ НА: АИС ГПЖС"
"Как проверить, что в наблюдателях заявки на АИС ГПЖС присутствуют нужные сотрудники (Захаров и Засыпкина)?","ВНИМАНИЕ! Проверяем, что бы по заявкам АИС ГПЖС, в наблюдателях обязательно присутствовали:
 Захаров Дмитрий Вячеславович - zakharovdv@admhmao.ru;
 Засыпкина Ирина Анатольевна - ZasypkinaIA@admhmao.ru.
 ЕСЛИ:
 Заявка на подключение пользователей к АИС ГПЖС, то анализируем заявку на наличие документов:
 1) Заявка на регистрацию;
 2) Копия приказа учреждения об уполномоченных сотрудниках;
 3) Копия акта о выполнении технических условий;
 4) Копия заключения об оценке эффективности.
 
 *Если документов не хватает, указываем инициатору на это через ""Уточнение от инициатора"".
 *Если все документы присутствуют направляем на согласование группе Голикова/Болдашкина и ДИТ УИБ
 Ждем согласования (достаточно 1 согласования в каждой группе).
 НАПРАВЛЯЕМ НА: АИС ГПЖС
 Ссылка документ: https://disk.yandex.ru/i/MaKmK4myMgA_CQ
 Ключевые слова: Подключение пользователей к АИС ГПЖС, приказ Депстрой и ЖКК Югры.
 *Для информации: Голикова Елена Николаевна GolikovaEN@admhmao.ru, Болдашкина Оксана Владимировна BoldashkinaOV@admhmao.ru.
 _____________________________________________
 ЕСЛИ: 
 Заявка по иным вопросам
 НАПРАВЛЯЕМ НА: АИС ГПЖС"
Какие документы нужно предоставить при подаче заявки на подключение пользователей к АИС ГПЖС?,"ВНИМАНИЕ! Проверяем, что бы по заявкам АИС ГПЖС, в наблюдателях обязательно присутствовали:
 Захаров Дмитрий Вячеславович - zakharovdv@admhmao.ru;
 Засыпкина Ирина Анатольевна - ZasypkinaIA@admhmao.ru.
 ЕСЛИ:
 Заявка на подключение пользователей к АИС ГПЖС, то анализируем заявку на наличие документов:
 1) Заявка на регистрацию;
 2) Копия приказа учреждения об уполномоченных сотрудниках;
 3) Копия акта о выполнении технических условий;
 4) Копия заключения об оценке эффективности.
 
 *Если документов не хватает, указываем инициатору на это через ""Уточнение от инициатора"".
 *Если все документы присутствуют направляем на согласование группе Голикова/Болдашкина и ДИТ УИБ
 Ждем согласования (достаточно 1 согласования в каждой группе).
 НАПРАВЛЯЕМ НА: АИС ГПЖС
 Ссылка документ: https://disk.yandex.ru/i/MaKmK4myMgA_CQ
 Ключевые слова: Подключение пользователей к АИС ГПЖС, приказ Депстрой и ЖКК Югры.
 *Для информации: Голикова Елена Николаевна GolikovaEN@admhmao.ru, Болдашкина Оксана Владимировна BoldashkinaOV@admhmao.ru.
 _____________________________________________
 ЕСЛИ: 
 Заявка по иным вопросам
 НАПРАВЛЯЕМ НА: АИС ГПЖС"
"Что делать, если в заявке на подключение пользователей отсутствуют необходимые документы?","ВНИМАНИЕ! Проверяем, что бы по заявкам АИС ГПЖС, в наблюдателях обязательно присутствовали:
 Захаров Дмитрий Вячеславович - zakharovdv@admhmao.ru;
 Засыпкина Ирина Анатольевна - ZasypkinaIA@admhmao.ru.
 ЕСЛИ:
 Заявка на подключение пользователей к АИС ГПЖС, то анализируем заявку на наличие документов:
 1) Заявка на регистрацию;
 2) Копия приказа учреждения об уполномоченных сотрудниках;
 3) Копия акта о выполнении технических условий;
 4) Копия заключения об оценке эффективности.
 
 *Если документов не хватает, указываем инициатору на это через ""Уточнение от инициатора"".
 *Если все документы присутствуют направляем на согласование группе Голикова/Болдашкина и ДИТ УИБ
 Ждем согласования (достаточно 1 согласования в каждой группе).
 НАПРАВЛЯЕМ НА: АИС ГПЖС
 Ссылка документ: https://disk.yandex.ru/i/MaKmK4myMgA_CQ
 Ключевые слова: Подключение пользователей к АИС ГПЖС, приказ Депстрой и ЖКК Югры.
 *Для информации: Голикова Елена Николаевна GolikovaEN@admhmao.ru, Болдашкина Оксана Владимировна BoldashkinaOV@admhmao.ru.
 _____________________________________________
 ЕСЛИ: 
 Заявка по иным вопросам
 НАПРАВЛЯЕМ НА: АИС ГПЖС"
Как отправить заявку на согласование подключений пользователей к АИС ГПЖС группе Голикова/Болдашкина и ДИТ УИБ?,"ВНИМАНИЕ! Проверяем, что бы по заявкам АИС ГПЖС, в наблюдателях обязательно присутствовали:
 Захаров Дмитрий Вячеславович - zakharovdv@admhmao.ru;
 Засыпкина Ирина Анатольевна - ZasypkinaIA@admhmao.ru.
 ЕСЛИ:
 Заявка на подключение пользователей к АИС ГПЖС, то анализируем заявку на наличие документов:
 1) Заявка на регистрацию;
 2) Копия приказа учреждения об уполномоченных сотрудниках;
 3) Копия акта о выполнении технических условий;
 4) Копия заключения об оценке эффективности.
 
 *Если документов не хватает, указываем инициатору на это через ""Уточнение от инициатора"".
 *Если все документы присутствуют направляем на согласование группе Голикова/Болдашкина и ДИТ УИБ
 Ждем согласования (достаточно 1 согласования в каждой группе).
 НАПРАВЛЯЕМ НА: АИС ГПЖС
 Ссылка документ: https://disk.yandex.ru/i/MaKmK4myMgA_CQ
 Ключевые слова: Подключение пользователей к АИС ГПЖС, приказ Депстрой и ЖКК Югры.
 *Для информации: Голикова Елена Николаевна GolikovaEN@admhmao.ru, Болдашкина Оксана Владимировна BoldashkinaOV@admhmao.ru.
 _____________________________________________
 ЕСЛИ: 
 Заявка по иным вопросам
 НАПРАВЛЯЕМ НА: АИС ГПЖС"
"Как убедиться, что все документы для подключения пользователей к АИС ГПЖС в порядке?","ВНИМАНИЕ! Проверяем, что бы по заявкам АИС ГПЖС, в наблюдателях обязательно присутствовали:
 Захаров Дмитрий Вячеславович - zakharovdv@admhmao.ru;
 Засыпкина Ирина Анатольевна - ZasypkinaIA@admhmao.ru.
 ЕСЛИ:
 Заявка на подключение пользователей к АИС ГПЖС, то анализируем заявку на наличие документов:
 1) Заявка на регистрацию;
 2) Копия приказа учреждения об уполномоченных сотрудниках;
 3) Копия акта о выполнении технических условий;
 4) Копия заключения об оценке эффективности.
 
 *Если документов не хватает, указываем инициатору на это через ""Уточнение от инициатора"".
 *Если все документы присутствуют направляем на согласование группе Голикова/Болдашкина и ДИТ УИБ
 Ждем согласования (достаточно 1 согласования в каждой группе).
 НАПРАВЛЯЕМ НА: АИС ГПЖС
 Ссылка документ: https://disk.yandex.ru/i/MaKmK4myMgA_CQ
 Ключевые слова: Подключение пользователей к АИС ГПЖС, приказ Депстрой и ЖКК Югры.
 *Для информации: Голикова Елена Николаевна GolikovaEN@admhmao.ru, Болдашкина Оксана Владимировна BoldashkinaOV@admhmao.ru.
 _____________________________________________
 ЕСЛИ: 
 Заявка по иным вопросам
 НАПРАВЛЯЕМ НА: АИС ГПЖС"
"Как убедиться, что все документы для подключения пользователей к АИС ГПЖС в порядке?","ВНИМАНИЕ! Проверяем, что бы по заявкам АИС ГПЖС, в наблюдателях обязательно присутствовали:
 Захаров Дмитрий Вячеславович - zakharovdv@admhmao.ru;
 Засыпкина Ирина Анатольевна - ZasypkinaIA@admhmao.ru.
 ЕСЛИ:
 Заявка на подключение пользователей к АИС ГПЖС, то анализируем заявку на наличие документов:
 1) Заявка на регистрацию;
 2) Копия приказа учреждения об уполномоченных сотрудниках;
 3) Копия акта о выполнении технических условий;
 4) Копия заключения об оценке эффективности.
 
 *Если документов не хватает, указываем инициатору на это через ""Уточнение от инициатора"".
 *Если все документы присутствуют направляем на согласование группе Голикова/Болдашкина и ДИТ УИБ
 Ждем согласования (достаточно 1 согласования в каждой группе).
 НАПРАВЛЯЕМ НА: АИС ГПЖС
 Ссылка документ: https://disk.yandex.ru/i/MaKmK4myMgA_CQ
 Ключевые слова: Подключение пользователей к АИС ГПЖС, приказ Депстрой и ЖКК Югры.
 *Для информации: Голикова Елена Николаевна GolikovaEN@admhmao.ru, Болдашкина Оксана Владимировна BoldashkinaOV@admhmao.ru.
 _____________________________________________
 ЕСЛИ: 
 Заявка по иным вопросам
 НАПРАВЛЯЕМ НА: АИС ГПЖС"
Сопровождение АИС Дороги Югры,"Ключевые фразы: АИС Дороги Югры (Система учёта и контроля работ по содержанию и ремонту автомобильных дорог, doroga.admhmao.ru)
 
 Категория: АИС Дороги Югры
 Группа: АИС Дороги Югры"
Что такое АИС Дороги Югры и как она помогает в учёте и контроле работ по содержанию дорог?,"Ключевые фразы: АИС Дороги Югры (Система учёта и контроля работ по содержанию и ремонту автомобильных дорог, doroga.admhmao.ru)
 
 Категория: АИС Дороги Югры
 Группа: АИС Дороги Югры"
Какая информация должна быть внесена в АИС Дороги Югры для отчётов по содержанию и ремонту автомобильных дорог?,"Ключевые фразы: АИС Дороги Югры (Система учёта и контроля работ по содержанию и ремонту автомобильных дорог, doroga.admhmao.ru)
 
 Категория: АИС Дороги Югры
 Группа: АИС Дороги Югры"
Как зарегистрироваться в системе АИС Дороги Югры для доступа к данным?,"Ключевые фразы: АИС Дороги Югры (Система учёта и контроля работ по содержанию и ремонту автомобильных дорог, doroga.admhmao.ru)
 
 Категория: АИС Дороги Югры
 Группа: АИС Дороги Югры"
Где я могу найти портал для работы с АИС Дороги Югры?,"Ключевые фразы: АИС Дороги Югры (Система учёта и контроля работ по содержанию и ремонту автомобильных дорог, doroga.admhmao.ru)
 
 Категория: АИС Дороги Югры
 Группа: АИС Дороги Югры"
"Как узнать, были ли проведены работы по ремонту дорог, если данные не отображаются в АИС Дороги Югры?","Ключевые фразы: АИС Дороги Югры (Система учёта и контроля работ по содержанию и ремонту автомобильных дорог, doroga.admhmao.ru)
 
 Категория: АИС Дороги Югры
 Группа: АИС Дороги Югры"
"Как узнать, были ли проведены работы по ремонту дорог, если данные не отображаются в АИС Дороги Югры?","Ключевые фразы: АИС Дороги Югры (Система учёта и контроля работ по содержанию и ремонту автомобильных дорог, doroga.admhmao.ru)
 
 Категория: АИС Дороги Югры
 Группа: АИС Дороги Югры"
Сопровождение АИС КНД,"АИС КНД (https://economic.control-nadzor.ru)
 Категория: АИС КНД
 Группа: АИС КНД"
Что такое АИС КНД и как она используется для контроля и надзора в экономической сфере?,"АИС КНД (https://economic.control-nadzor.ru)
 Категория: АИС КНД
 Группа: АИС КНД"
Как получить доступ к АИС КНД и зарегистрироваться в системе?,"АИС КНД (https://economic.control-nadzor.ru)
 Категория: АИС КНД
 Группа: АИС КНД"
Какие функции доступны в АИС КНД для пользователей?,"АИС КНД (https://economic.control-nadzor.ru)
 Категория: АИС КНД
 Группа: АИС КНД"
Где я могу найти портал для работы с АИС КНД?,"АИС КНД (https://economic.control-nadzor.ru)
 Категория: АИС КНД
 Группа: АИС КНД"
"Как исправить ошибку при входе в АИС КНД, если система не принимает логин или пароль?","АИС КНД (https://economic.control-nadzor.ru)
 Категория: АИС КНД
 Группа: АИС КНД"
"Как исправить ошибку при входе в АИС КНД, если система не принимает логин или пароль?","АИС КНД (https://economic.control-nadzor.ru)
 Категория: АИС КНД
 Группа: АИС КНД"
Сопровождение АИС Мониторинг Югра,"АИС Мониторинг Югра (monitoring.admhmao.ru)
 Категория и группа: АИС Мониторинг Югра"
"Как войти в систему АИС Мониторинг Югра, если я не могу найти сайт?","АИС Мониторинг Югра (monitoring.admhmao.ru)
 Категория и группа: АИС Мониторинг Югра"
Какие данные я могу загрузить в АИС Мониторинг Югра для мониторинга в сфере ЖКХ?,"АИС Мониторинг Югра (monitoring.admhmao.ru)
 Категория и группа: АИС Мониторинг Югра"
Где найти инструкции по использованию АИС Мониторинг Югра для новых пользователей?,"АИС Мониторинг Югра (monitoring.admhmao.ru)
 Категория и группа: АИС Мониторинг Югра"
Как получить доступ к отчетам и результатам мониторинга через АИС Мониторинг Югра?,"АИС Мониторинг Югра (monitoring.admhmao.ru)
 Категория и группа: АИС Мониторинг Югра"
"Что делать, если возникают технические проблемы при работе с порталом АИС Мониторинг Югра?","АИС Мониторинг Югра (monitoring.admhmao.ru)
 Категория и группа: АИС Мониторинг Югра"
"Что делать, если возникают технические проблемы при работе с порталом АИС Мониторинг Югра?","АИС Мониторинг Югра (monitoring.admhmao.ru)
 Категория и группа: АИС Мониторинг Югра"
Сопровождение Аверс: Управление лесным фондом ПРОФ,"Категория: Аверс: Управление лесным фондом ПРОФ
 Группа: Аверс: Управление лесным фондом ПРОФ"
"Как подключиться к системе ""Аверс: Управление лесным фондом ПРОФ""?","Категория: Аверс: Управление лесным фондом ПРОФ
 Группа: Аверс: Управление лесным фондом ПРОФ"
"Какие действия нужно выполнить для внесения изменений в данные о лесном фонде в системе ""Аверс: Управление лесным фондом ПРОФ""?","Категория: Аверс: Управление лесным фондом ПРОФ
 Группа: Аверс: Управление лесным фондом ПРОФ"
"Где я могу найти инструкции по использованию системы ""Аверс: Управление лесным фондом ПРОФ""?","Категория: Аверс: Управление лесным фондом ПРОФ
 Группа: Аверс: Управление лесным фондом ПРОФ"
"Как получить доступ к отчетам по лесному фонду в системе ""Аверс: Управление лесным фондом ПРОФ""?","Категория: Аверс: Управление лесным фондом ПРОФ
 Группа: Аверс: Управление лесным фондом ПРОФ"
"Что делать, если возникла ошибка при загрузке данных или при работе с системой ""Аверс: Управление лесным фондом ПРОФ""?","Категория: Аверс: Управление лесным фондом ПРОФ
 Группа: Аверс: Управление лесным фондом ПРОФ"
"Что делать, если возникла ошибка при загрузке данных или при работе с системой ""Аверс: Управление лесным фондом ПРОФ""?","Категория: Аверс: Управление лесным фондом ПРОФ
 Группа: Аверс: Управление лесным фондом ПРОФ"
Сопровождение АИС «Выдача разрешений»,Категория и группа АИС «Выдача разрешений»
Как зарегистрироваться в системе АИС «Выдача разрешений» и получить доступ к функционалу?,Категория и группа АИС «Выдача разрешений»
Какие документы нужно предоставить для получения разрешения через АИС «Выдача разрешений»?,Категория и группа АИС «Выдача разрешений»
Как подать заявку на разрешение через систему АИС «Выдача разрешений»?,Категория и группа АИС «Выдача разрешений»
Как проверить статус заявки на разрешение в системе АИС «Выдача разрешений»?,Категория и группа АИС «Выдача разрешений»
"Что делать, если возникают проблемы при подаче заявки или доступе к системе АИС «Выдача разрешений»?",Категория и группа АИС «Выдача разрешений»
"Что делать, если возникают проблемы при подаче заявки или доступе к системе АИС «Выдача разрешений»?",Категория и группа АИС «Выдача разрешений»
Сопровождение АИС Учет отчетов адвокатов,Категория и группа: АИС Учет отчетов адвокатов
Как зарегистрироваться в системе АИС Учет отчетов адвокатов и получить доступ к отчетам?,Категория и группа: АИС Учет отчетов адвокатов
Какие виды отчетов можно загрузить в АИС Учет отчетов адвокатов?,Категория и группа: АИС Учет отчетов адвокатов
"Как подать отчет в систему АИС Учет отчетов адвокатов, если я не могу найти нужную форму?",Категория и группа: АИС Учет отчетов адвокатов
"Как проверить, что отчет успешно загружен в систему АИС Учет отчетов адвокатов?",Категория и группа: АИС Учет отчетов адвокатов
